year,set_num,name,parent_theme_name,num_parts
1965,001-1,Gears,Technic,43
1978,0011-2,Town Mini-Figures,Classic Town,12
1987,0011-3,Castle 2 for 1 Bonus Offer,Castle,2
1979,0012-1,Space Mini-Figures,Space,12
1979,0013-1,Space Mini-Figures,Space,12
1979,0014-1,Space Mini-Figures,Space,12
1979,0015-1,Space Mini-Figures,Space,18
1978,0016-1,Castle Mini Figures,Mini,15
1965,002-1,4.5V Samsonite Gears Motor Set,Technic,3
1966,003-1,Master Mechanic Set,Bionicle,403
1965,005-1,Basic Building Set in Cardboard,Bionicle,35
1967,005-2,Discovery Set,Bionicle,0
1985,00-6,Special Offer,Town,3
1965,010-1,Basic Building Set in Cardboard,Bionicle,57
1968,010-3,Basic Building Set,Bionicle,77
1968,011-1,Basic Building Set,Bionicle,145
1966,021-1,Wheel Set,Bionicle,183
1968,022-1,Basic Building Set,Bionicle,110
2016,0241199312-1,DC Super Heroes: Character Encyclopedia,Super Heroes,6
2019,0241357527-1,"Star Wars: The Visual Dictionary, New Edition",Super Heroes,4
2019,0241357594-1,Star Wars Build Your Own Adventure: Galactic Missions,Super Heroes,0
2019,0241363500-1,Amazing Vehicles,Super Heroes,26
2019,024136373X-1,Harry Potter Build Your Own Adventure,Super Heroes,0
1979,028-1,Nursery Furniture,Elves,7
1973,030-2,Building Set,Batman,29
1999,03093-1,The Race to Build It Board Game,Super Heroes,72
1979,032-1,Living Room,Elves,14
1979,033-1,Farm Animals,Juniors,11
1968,033-2,Basic Building Set,Bionicle,177
1964,041-1,Pre-School Beginners Set,Legoland Parks,24
1979,041-2,Playhouse,Elves,1
1966,042-1,Jumbo Brick Pull Toy,Legoland Parks,9
1968,044-1,Basic Building Set,Bionicle,225
1969,044-2,Jumbo Bricks,Legoland Parks,30
1979,045-1,Farm,Juniors,66
1969,050-2,Lighting Device Pack,Bionicle,4
1966,051-1,Assorted Basic Bricks - Red,Bionicle,50
1966,052-1,Assorted Basic Bricks - White,Bionicle,50
1966,053-1,Assorted Basic Bricks - Blue,Bionicle,50
1966,054-1,Assorted Basic Bricks - Yellow,Bionicle,50
1966,055-1,Trees & Bushes,Bionicle,25
1968,055-2,Basic Building Set,Bionicle,256
1966,057-1,Large Wheels,Bionicle,17
